YEAR,MONTH,DAY,time(utc),lat,lon,pl_obs(km)
1979,4,10,2300,34,-98.5,103
1979,4,11,0,33.75,-97.75,75
1980,6,4,100,41,-98.5,23.3
1981,5,22,300,35.25,-98.25,26.7
1981,5,23,200,35.5,-98.5,27
1982,3,19,600,36.25,-101.25,140.8
1982,4,2,2100,34,-95.25,85
1982,4,2,2300,33,-95.5,84
1984,3,28,2300,34.5,-79.5,72
1984,3,28,2300,34.75,-77.75,64
1984,6,8,300,40.75,-93.25,187.2
1985,5,11,0,39,-97.75,89.6
1985,6,1,100,40.75,-78.75,111
1986,3,10,2000,39.25,-87,56
1987,11,16,300,32.25,-93.75,76.8
1989,7,10,1700,42.5,-73.75,67.2
1989,11,15,2200,34.75,-86.75,29.8
1989,11,15,2200,34.75,-86.25,37
1990,6,3,200,38.75,-86.25,66
1990,6,3,300,38.75,-85.75,65.6
1991,4,26,2300,39,-96.25,71
1992,6,16,400,38.5,-97,27
1992,6,16,2100,43.5,-95.25,26
1992,11,21,2100,30.5,-95.25,51.2
1992,11,22,500,31.75,-91.25,61
1992,11,22,600,32,-89.25,64
1992,11,22,900,33.25,-89.5,179.2
1994,4,26,1900,34.75,-94.75,19
1995,6,9,200,35.25,-99.5,47
1996,4,20,100,40,-89.25,23.2
1996,10,26,2100,44.75,-96,27
1997,1,24,2300,35.5,-86.25,22.4
1997,3,1,900,34.25,-88.75,48
1997,3,2,0,35.75,-89.75,72
1997,5,12,1900,25.75,-80.25,12.8
1997,5,27,2100,30.75,-97.5,8.2
1998,2,23,500,28.5,-81,61
1998,3,29,2300,44,-93.75,117.6
1998,4,16,2200,35.25,-87.25,34
1998,6,23,2200,41.5,-97,9.6
1999,4,3,0,35,-99.25,12
1999,4,8,2000,41,-94.5,79
1999,5,3,0,40.5,-98.5,19
1999,5,4,0,42,-98.25,24
1999,5,4,200,35.5,-97.5,59.2
1999,5,4,300,36,-97.5,56.3
1999,5,4,1700,33.5,-95,114.4
1999,6,1,0,37,-99.5,6.7
1999,6,4,200,40,-99.5,16
2000,2,18,1900,34.5,-92.25,12.5
2000,2,25,300,36.5,-100,43.2
2000,3,29,100,32.75,-97.25,13
2000,5,1,0,33.25,-98.5,6.4
2000,5,8,100,45,-95,3.2
2000,5,12,2200,38.75,-89.25,14.4
2000,5,17,2200,41.5,-100.5,18.4
2000,5,18,1900,41.5,-90.75,5.8
2000,5,27,0,35.25,-98.25,4
2000,6,4,300,42.25,-97.75,8
2000,6,11,2200,48.25,-101,4.8
2000,6,13,2000,41,-95.5,17
2000,6,29,2100,39.75,-101.75,4
2000,7,4,2100,47.5,-99.25,4.8
2000,7,26,100,43.5,-95.75,4.8
2000,7,26,2000,41.75,-94.75,5.8
2000,10,29,2200,41.25,-97.25,14.4
2001,4,11,1800,40.75,-94,122.4
2001,4,22,0,38.25,-99.5,8
2001,5,2,0,44,-93,11.2
2001,5,10,0,44.5,-93,19.2
2001,5,10,2300,42,-92.75,12.8
2001,5,20,2300,35.25,-96,17.6
2001,5,30,0,35.25,-100.75,16
2001,6,14,0,40.75,-97,12.8
2001,7,18,2300,47.75,-98.25,8
2001,8,17,2200,42.5,-96,4.8
2001,8,23,2200,39,-98,1.6
2001,9,23,0,40.5,-98,16
2001,9,24,2100,39,-77,28
2001,10,9,2100,35.5,-99.25,18.4
2001,10,9,2100,41,-98,29
2001,11,24,700,33.75,-91,71
2001,11,24,1600,32.25,-87.75,62.2
2001,11,26,2100,33.5,-92.25,31.7
2002,4,18,300,36.25,-99.5,54.4
2002,4,24,2100,36.75,-90.75,60.8
2002,4,28,1000,37.25,-87.5,35
2002,5,5,2100,39.75,-99,4
2002,5,5,2300,34.75,-101.75,8
2002,5,8,300,37.5,-99,35
2002,6,24,0,45.25,-98.25,16
2002,12,18,800,37.25,-94.5,17.6
2003,4,6,1800,31.75,-94.5,61.1
2003,4,19,2200,37.25,-96,32
2003,4,30,2300,41.25,-91.25,25.6
2003,5,4,0,41.75,-102.75,13
2003,5,4,100,33,-99.5,6.4
2003,5,4,2200,39,-94.5,33.6
2003,5,5,0,37.5,-93,79
2003,5,5,200,35,-92.25,56.2
2003,5,8,2000,35.5,-97,27.2
2003,5,9,0,38,-94.75,35
2003,5,10,300,35.5,-98,29
2003,5,10,300,39,-93.5,16
2003,5,16,0,36.5,-102.25,16
2003,5,16,100,32.5,-99.5,19.2
2003,5,31,100,40,-89,22.4
2003,6,10,0,42.5,-98.25,36.8
2003,7,15,0,44.25,-94.75,4
2004,4,22,2000,36,-95.75,10.2
2004,5,16,2100,42.25,-99.25,9.6
2004,5,23,200,40.25,-95.75,83.2
2004,5,24,2300,39.75,-93.25,27
2004,5,29,0,43,-96.5,1.6
2004,5,29,2100,37,-98.75,12.8
2004,5,29,2100,39.75,-98,8
2004,5,29,2300,35.5,-98.25,22.4
2004,5,30,300,39,-94.25,35.2
2004,6,13,2200,41,-96.5,3.2
2004,7,8,100,38.75,-98.75,2.4
2004,7,13,1900,41,-89,15.4
2004,7,19,100,47,-97.75,6.4
2004,8,26,2100,40.5,-95.5,11.2
2004,9,8,2100,38.25,-77.25,28.5
2004,11,10,2300,35.5,-97.25,4.8
