time,longitude,latitude,t,q,u,v,z,p
2004-05-24 23:00:00,-93.25,39.75,297.72073,0.0142923705,-2.60112,5.8195734,2329.8262,97614.51
2004-05-24 23:00:00,-93.25,39.75,297.66797,0.014182784,-3.5034008,8.079655,2544.3386,97371.82
2004-05-24 23:00:00,-93.25,39.75,297.55704,0.014113978,-4.0281982,9.428421,2779.3281,97107.92
2004-05-24 23:00:00,-93.25,39.75,297.41415,0.014049169,-4.4290867,10.486885,3034.721,96819.38
2004-05-24 23:00:00,-93.25,39.75,297.24213,0.013991336,-4.761589,11.398285,3314.5415,96505.48
2004-05-24 23:00:00,-93.25,39.75,297.04718,0.013933975,-5.0387344,12.238815,3620.0378,96163.734
2004-05-24 23:00:00,-93.25,39.75,296.8234,0.013878288,-5.285166,13.034666,3953.1572,95791.61
2004-05-24 23:00:00,-93.25,39.75,296.59576,0.013811766,-5.4974594,13.820734,4316.9785,95386.555
2004-05-24 23:00:00,-93.25,39.75,296.32794,0.013740252,-5.6708145,14.56706,4714.592,94946.14
2004-05-24 23:00:00,-93.25,39.75,296.03415,0.013658459,-5.8120136,15.33906,5147.2397,94467.75
2004-05-24 23:00:00,-93.25,39.75,295.6908,0.01357181,-5.912071,16.087267,5619.0347,93948.91
2004-05-24 23:00:00,-93.25,39.75,295.34988,0.013463409,-5.9441757,16.843018,6132.051,93385.95
2004-05-24 23:00:00,-93.25,39.75,294.9628,0.013335339,-5.9139366,17.589115,6691.5317,92777.3
2004-05-24 23:00:00,-93.25,39.75,294.50986,0.013174183,-5.782648,18.373186,7298.9653,92118.24
2004-05-24 23:00:00,-93.25,39.75,294.24335,0.012917647,-5.567152,19.175293,7960.029,91407.11
2004-05-24 23:00:00,-93.25,39.75,293.43295,0.012897308,-5.248369,19.935024,8676.584,90639.77
2004-05-24 23:00:00,-93.25,39.75,292.97925,0.012601681,-4.8370304,20.590374,9452.63,89814.0
2004-05-24 23:00:00,-93.25,39.75,292.3958,0.012304859,-4.3046303,21.10633,10293.485,88926.19
2004-05-24 23:00:00,-93.25,39.75,291.7251,0.011923374,-3.758398,21.424871,11202.819,87974.19
2004-05-24 23:00:00,-93.25,39.75,291.01926,0.011390928,-3.117733,21.591383,12183.928,86955.51
2004-05-24 23:00:00,-93.25,39.75,290.11707,0.010789235,-2.352522,21.764872,13241.533,85867.21
2004-05-24 23:00:00,-93.25,39.75,289.19174,0.010329962,-1.5135365,21.797531,14379.162,84707.516
2004-05-24 23:00:00,-93.25,39.75,288.1807,0.010056072,-0.8204403,21.64158,15600.923,83475.84
2004-05-24 23:00:00,-93.25,39.75,286.91318,0.009980742,0.019557953,21.572742,16910.014,82170.29
2004-05-24 23:00:00,-93.25,39.75,285.80313,0.009289088,1.562603,21.19126,18309.781,80790.734
2004-05-24 23:00:00,-93.25,39.75,284.79254,0.008551264,3.177868,20.674421,19804.648,79337.36
2004-05-24 23:00:00,-93.25,39.75,283.84332,0.008105669,4.4579296,20.067461,21397.32,77811.69
2004-05-24 23:00:00,-93.25,39.75,282.96475,0.007447454,6.0155907,19.09579,23092.113,76215.59
2004-05-24 23:00:00,-93.25,39.75,282.04257,0.007615975,7.057331,18.316008,24890.611,74551.42
2004-05-24 23:00:00,-93.25,39.75,281.1354,0.008104195,7.8369083,17.59912,26795.615,72823.4
2004-05-24 23:00:00,-93.25,39.75,280.48904,0.008318829,9.927629,17.404968,28808.725,71035.76
2004-05-24 23:00:00,-93.25,39.75,279.35214,0.008445585,11.255009,16.999943,30929.852,69194.7
2004-05-24 23:00:00,-93.25,39.75,278.03467,0.00806395,13.29841,16.510235,33154.49,67306.91
2004-05-24 23:00:00,-93.25,39.75,276.32635,0.006916764,15.642858,15.808281,35477.58,65378.492
2004-05-24 23:00:00,-93.25,39.75,275.2155,0.0055558435,17.523949,15.05328,37895.742,63419.055
2004-05-24 23:00:00,-93.25,39.75,273.8145,0.0046899994,18.447472,14.5401,40406.316,61437.07
2004-05-24 23:00:00,-93.25,39.75,272.12988,0.004151686,18.826576,14.367016,43001.613,59440.86
2004-05-24 23:00:00,-93.25,39.75,270.14478,0.0037206053,18.986164,14.107716,45671.58,57441.055
2004-05-24 23:00:00,-93.25,39.75,267.9723,0.003253571,19.153526,13.776833,48406.547,55446.97
2004-05-24 23:00:00,-93.25,39.75,265.68774,0.0027475513,19.467999,13.31138,51194.92,53468.34
2004-05-24 23:00:00,-93.25,39.75,263.40848,0.0022877585,19.999458,12.690659,54026.113,51514.68
2004-05-24 23:00:00,-93.25,39.75,261.16577,0.0019539462,20.654953,11.898666,56886.312,49597.13
2004-05-24 23:00:00,-93.25,39.75,258.9331,0.0017462191,21.486135,10.887011,59758.707,47727.098
2004-05-24 23:00:00,-93.25,39.75,256.82605,0.001604163,22.335201,9.856037,62633.56,45911.03
2004-05-24 23:00:00,-93.25,39.75,254.84138,0.0014930652,23.17893,8.719566,65508.35,44150.086
2004-05-24 23:00:00,-93.25,39.75,252.75899,0.0013992088,23.975971,7.7234726,68384.17,42443.035
2004-05-24 23:00:00,-93.25,39.75,250.64925,0.0012962484,24.710274,6.728653,71259.3,40788.516
2004-05-24 23:00:00,-93.25,39.75,248.48175,0.0012139754,25.395191,6.011856,74133.62,39185.715
2004-05-24 23:00:00,-93.25,39.75,246.71938,0.0010005058,26.11628,5.412155,77008.95,37633.195
2004-05-24 23:00:00,-93.25,39.75,244.76778,0.00086045807,26.832,4.771076,79886.18,36130.15
2004-05-24 23:00:00,-93.25,39.75,242.91293,0.0006970249,27.32634,4.2171593,82765.04,34675.08
2004-05-24 23:00:00,-93.25,39.75,240.9886,0.0006055475,27.775696,3.6341476,85645.195,33267.07
2004-05-24 23:00:00,-93.25,39.75,239.09813,0.00051141175,28.067833,3.145176,88527.15,31904.947
2004-05-24 23:00:00,-93.25,39.75,237.14046,0.0004221613,28.258018,2.6410599,91410.234,30587.691
2004-05-24 23:00:00,-93.25,39.75,235.08232,0.00035275388,28.431438,1.9562721,94293.375,29314.121
2004-05-24 23:00:00,-93.25,39.75,232.9095,0.00029026766,28.185558,1.615612,97175.586,28083.217
2004-05-24 23:00:00,-93.25,39.75,230.68518,0.00023180379,28.372255,1.019989,100055.586,26893.924
2004-05-24 23:00:00,-93.25,39.75,228.42084,0.00018772429,29.465841,-0.31838608,102932.65,25745.164
2004-05-24 23:00:00,-93.25,39.75,226.19672,0.00015913045,30.923397,-2.180809,105806.76,24635.94
2004-05-24 23:00:00,-93.25,39.75,224.06252,0.00013218654,32.401512,-4.2464447,108678.65,23565.254
2004-05-24 23:00:00,-93.25,39.75,222.06732,0.00010685828,32.87824,-5.7245255,111549.664,22532.084
2004-05-24 23:00:00,-93.25,39.75,220.2855,8.63883e-05,33.66859,-7.6158066,114422.25,21535.482
2004-05-24 23:00:00,-93.25,39.75,218.36166,6.840021e-05,33.95336,-8.976143,117296.66,20574.47
2004-05-24 23:00:00,-93.25,39.75,216.22484,5.304663e-05,33.863396,-9.589516,120170.52,19648.15
2004-05-24 23:00:00,-93.25,39.75,213.88719,4.0275525e-05,33.542175,-9.197292,123040.95,18755.568
2004-05-24 23:00:00,-93.25,39.75,211.44632,3.0091986e-05,31.924387,-6.157299,125905.51,17895.828
2004-05-24 23:00:00,-93.25,39.75,208.60405,2.1276232e-05,30.795916,-3.1916733,128760.95,17068.057
2004-05-24 23:00:00,-93.25,39.75,206.13995,1.5562413e-05,30.823854,-1.5701904,131606.69,16271.401
2004-05-24 23:00:00,-93.25,39.75,205.54518,1.44138085e-05,32.070824,-0.9498215,134457.5,15505.018
2004-05-24 23:00:00,-93.25,39.75,205.81569,1.615408e-05,32.70498,1.0184803,137332.84,14768.097
2004-05-24 23:00:00,-93.25,39.75,207.66568,2.1725475e-05,32.21037,3.0208206,140249.67,14059.828
2004-05-24 23:00:00,-93.25,39.75,208.06525,2.2853334e-05,32.37312,1.7936573,143209.58,13379.427
2004-05-24 23:00:00,-93.25,39.75,207.50078,1.8875173e-05,30.903175,1.1366768,146195.66,12726.155
2004-05-24 23:00:00,-93.25,39.75,209.54318,1.5518794e-05,28.139816,4.1437035,149219.53,12099.244
2004-05-24 23:00:00,-93.25,39.75,212.90868,1.12633625e-05,26.639938,6.5295277,152310.36,11497.945
2004-05-24 23:00:00,-93.25,39.75,214.9728,6.648348e-06,25.546436,6.9593964,155468.94,10921.5625
2004-05-24 23:00:00,-93.25,39.75,215.2615,4.2554693e-06,23.400608,6.8945923,158672.8,10369.379
2004-05-24 23:00:00,-93.25,39.75,214.37892,3.1390857e-06,21.207958,6.3494835,161900.22,9840.667
2004-05-24 23:00:00,-93.25,39.75,212.78128,2.4316382e-06,20.326988,5.6148176,165136.55,9334.714
2004-05-24 23:00:00,-93.25,39.75,211.0939,2.155505e-06,20.383316,4.1148033,168375.25,8850.811
2004-05-24 23:00:00,-93.25,39.75,209.68124,2.1144774e-06,19.343609,1.5749874,171618.95,8388.009
2004-05-24 23:00:00,-93.25,39.75,208.5694,2.0549082e-06,16.1446,0.2826481,174877.25,7944.9033
2004-05-24 23:00:00,-93.25,39.75,208.18753,2.044828e-06,12.698256,2.372264,178165.48,7519.9727
2004-05-24 23:00:00,-93.25,39.75,209.40646,2.0886357e-06,11.417978,3.7961855,181510.06,7111.8716
2004-05-24 23:00:00,-93.25,39.75,211.73903,2.1490507e-06,10.120576,1.2652922,184941.64,6719.4087
2004-05-24 23:00:00,-93.25,39.75,213.482,2.2122072e-06,7.1757126,-1.2433443,188474.73,6341.5103
2004-05-24 23:00:00,-93.25,39.75,214.01779,2.2929396e-06,4.9957724,-1.4193459,192105.34,5977.2095
2004-05-24 23:00:00,-93.25,39.75,214.07253,2.3881573e-06,4.3858805,-1.5024405,195830.2,5625.6675
2004-05-24 23:00:00,-93.25,39.75,214.44217,2.4713936e-06,2.5607977,-2.8431597,199655.97,5286.443
2004-05-24 23:00:00,-93.25,39.75,214.57196,2.521751e-06,-0.48619747,-2.6594195,203587.33,4959.522
2004-05-24 23:00:00,-93.25,39.75,214.45273,2.552011e-06,-1.7469711,-1.2015352,207622.58,4644.9834
2004-05-24 23:00:00,-93.25,39.75,214.52927,2.5815257e-06,-1.220314,-0.18033743,211763.97,4342.874
2004-05-24 23:00:00,-93.25,39.75,215.23386,2.6129717e-06,-0.58506584,-0.046132088,216022.48,4053.2104
